Model,Accuracy,AUC,Precision,Recall,F1,MCC,MCC_rank,F1_rank,Combined_Rank,MCC_F1_Avg
Random Forest,0.7663197729422895,0.8471157381871667,0.5401459854014599,0.7928571428571428,0.6425470332850941,0.49751944866856335,1.0,1.0,2.0,0.5700332409768287
Decision Tree,0.7492904446546831,0.8398832505975362,0.5168539325842697,0.8214285714285714,0.6344827586206897,0.48686634705779275,2.0,2.0,4.0,0.5606745528392412
Logistic Regression,0.7398297067171239,0.8493771833057547,0.5055432372505543,0.8142857142857143,0.6238030095759234,0.47044611583828455,3.0,3.0,6.0,0.547124562707104
kNN,0.7861873226111636,0.831150027578599,0.5978260869565217,0.5892857142857143,0.5935251798561151,0.4484989687231419,4.0,4.0,8.0,0.5210120742896285
Naive Bayes,0.6868495742667928,0.812201231844089,0.45124282982791586,0.8428571428571429,0.5877957658779577,0.41790428204567087,5.0,5.0,10.0,0.5028500239618143
